season,lg,tm,player,position
1969.0,NBA,2nd,Dave DeBusschere,F
1969.0,ABA,1st,Rick Barry,F
1969.0,ABA,2nd,John Beasley,F
1968.0,NBA,1st,Elgin Baylor,F
1968.0,NBA,2nd,John Havlicek,F
1968.0,ABA,1st,Connie Hawkins,F
1968.0,ABA,2nd,Roger Brown,F
1967.0,NBA,1st,Rick Barry,F
1967.0,NBA,2nd,Jerry Lucas,F
1966.0,NBA,1st,Rick Barry,F
1966.0,NBA,2nd,John Havlicek,F
1965.0,NBA,1st,Elgin Baylor,F
1965.0,NBA,2nd,Gus Johnson,F
1964.0,NBA,1st,Elgin Baylor,F
1964.0,NBA,2nd,Tom Heinsohn,F
1963.0,NBA,1st,Elgin Baylor,F
1963.0,NBA,2nd,Tom Heinsohn,F
1962.0,NBA,1st,Elgin Baylor,F
1962.0,NBA,2nd,Tom Heinsohn,F
1961.0,NBA,1st,Elgin Baylor,F
1961.0,NBA,2nd,Tom Heinsohn,F
1960.0,NBA,1st,Elgin Baylor,F
1960.0,NBA,2nd,Dolph Schayes,F
1959.0,NBA,1st,Elgin Baylor,F
1959.0,NBA,2nd,Paul Arizin,F
1958.0,NBA,1st,Dolph Schayes,F
1958.0,NBA,2nd,Cliff Hagan,F
1957.0,NBA,1st,Paul Arizin,F
1957.0,NBA,2nd,Maurice Stokes,F
1956.0,NBA,1st,Paul Arizin,F
1956.0,NBA,2nd,Dolph Schayes,F
1955.0,NBA,1st,Larry Fous,t
1955.0,NBA,2nd,Slater Marti,n
1954.0,NBA,1st,Harry Gallati,n
1954.0,NBA,2nd,Ed Macaule,y
1953.0,NBA,1st,Neil Johnsto,n
1953.0,NBA,2nd,Vern Mikkelse,n
1952.0,NBA,1st,Bob Cous,y
1952.0,NBA,2nd,Vern Mikkelse,n
1951.0,NBA,1st,Bob Davie,s
1951.0,NBA,2nd,Joe Fulk,s
1950.0,NBA,1st,Alex Groz,a
1950.0,NBA,2nd,Frankie Bria,n
1949.0,BAA,1st,Joe Fulk,s
1949.0,BAA,2nd,John Loga,n
1948.0,BAA,1st,Bob Feeric,k
1948.0,BAA,2nd,Buddy Jeannett,e
1947.0,BAA,1st,Joe Fulk,s
1947.0,BAA,2nd,Ernie Calverle,y
2018.0,NBA,1st,Kevin Durant,F
2018.0,NBA,2nd,LaMarcus Aldridge,F
2018.0,NBA,3rd,Paul George,F
2017.0,NBA,1st,Kawhi Leonard,F
2017.0,NBA,2nd,Kevin Durant,F
2017.0,NBA,3rd,Jimmy Butler,F
2016.0,NBA,1st,Kawhi Leonard,F
2016.0,NBA,2nd,Draymond Green,F
2016.0,NBA,3rd,LaMarcus Aldridge,F
2015.0,NBA,1st,Anthony Davis,F
2015.0,NBA,2nd,LaMarcus Aldridge,F
2015.0,NBA,3rd,Tim Duncan,F
2014.0,NBA,1st,LeBron James,F
2014.0,NBA,2nd,Kevin Love,F
2014.0,NBA,3rd,LaMarcus Aldridge,F
2013.0,NBA,1st,LeBron James,F
2013.0,NBA,2nd,Blake Griffin,F
2013.0,NBA,3rd,David Lee,F
2012.0,NBA,1st,LeBron James,F
2012.0,NBA,2nd,Kevin Love,F
2012.0,NBA,3rd,Dirk Nowitzki,F
2011.0,NBA,1st,LeBron James,F
2011.0,NBA,2nd,Dirk Nowitzki,F
2011.0,NBA,3rd,Zach Randolph,F
2010.0,NBA,1st,LeBron James,F
2010.0,NBA,2nd,Dirk Nowitzki,F
2010.0,NBA,3rd,Pau Gasol,F
2009.0,NBA,1st,Dirk Nowitzki,F
2009.0,NBA,2nd,Paul Pierce,F
2009.0,NBA,3rd,Pau Gasol,F
2008.0,NBA,1st,LeBron James,F
2008.0,NBA,2nd,Dirk Nowitzki,F
2008.0,NBA,3rd,Paul Pierce,F
2007.0,NBA,1st,Dirk Nowitzki,F
2007.0,NBA,2nd,LeBron James,F
2007.0,NBA,3rd,Kevin Garnett,F
2006.0,NBA,1st,Dirk Nowitzki,F
2006.0,NBA,2nd,Tim Duncan,F
2006.0,NBA,3rd,Shawn Marion,F
2005.0,NBA,1st,Dirk Nowitzki,F
2005.0,NBA,2nd,LeBron James,F
2005.0,NBA,3rd,Tracy McGrady,F
2004.0,NBA,1st,Kevin Garnett,F
2004.0,NBA,2nd,Peja Stojakovic,F
2004.0,NBA,3rd,Dirk Nowitzki,F
2003.0,NBA,1st,Kevin Garnett,F
2003.0,NBA,2nd,Chris Webber,F
2003.0,NBA,3rd,Paul Pierce,F
2002.0,NBA,1st,Tracy McGrady,F
2002.0,NBA,2nd,Chris Webber,F
2002.0,NBA,3rd,Ben Wallace,F
2001.0,NBA,1st,Chris Webber,F
2001.0,NBA,2nd,Kevin Garnett,F
2001.0,NBA,3rd,Dirk Nowitzki,F
1900.0,NBA,1st,Kevin Garnett,F
1900.0,NBA,2nd,Karl Malone,F
1900.0,NBA,3rd,Chris Webber,F
1999.0,NBA,1st,Karl Malone,F
1999.0,NBA,2nd,Chris Webber,F
1999.0,NBA,3rd,Antonio McDyess,F
1998.0,NBA,1st,Karl Malone,F
1998.0,NBA,2nd,Grant Hill,F
1998.0,NBA,3rd,Glen Rice,F
1997.0,NBA,1st,Karl Malone,F
1997.0,NBA,2nd,Glen Rice,F
1997.0,NBA,3rd,Anthony Mason,F
1996.0,NBA,1st,Scottie Pippen,F
1996.0,NBA,2nd,Shawn Kemp,F
1996.0,NBA,3rd,Juwan Howard,F
1995.0,NBA,1st,Scottie Pippen,F
1995.0,NBA,2nd,Shawn Kemp,F
1995.0,NBA,3rd,Detlef Schrempf,F
1994.0,NBA,1st,Scottie Pippen,F
1994.0,NBA,2nd,Shawn Kemp,F
1994.0,NBA,3rd,Dominique Wilkins,F
1993.0,NBA,1st,Karl Malone,F
1993.0,NBA,2nd,Dominique Wilkins,F
1993.0,NBA,3rd,Scottie Pippen,F
1992.0,NBA,1st,Chris Mullin,F
1992.0,NBA,2nd,Scottie Pippen,F
1992.0,NBA,3rd,Kevin Willis,F
1991.0,NBA,1st,Karl Malone,F
1991.0,NBA,2nd,Dominique Wilkins,F
1991.0,NBA,3rd,James Worthy,F
1990.0,NBA,1st,Karl Malone,F
1990.0,NBA,2nd,Tom Chambers,F
1990.0,NBA,3rd,James Worthy,F
1989.0,NBA,1st,Karl Malone,F
1989.0,NBA,2nd,Chris Mullin,F
1989.0,NBA,3rd,Dominique Wilkins,F
1988.0,NBA,1st,Larry Bird,F
1988.0,NBA,2nd,Dominique Wilkins,F
1987.0,NBA,1st,Kevin McHale,F
1987.0,NBA,2nd,Dominique Wilkins,F
1986.0,NBA,1st,Dominique Wilkins,F
1986.0,NBA,2nd,Alex English,F
1985.0,NBA,1st,Bernard King,F
1985.0,NBA,2nd,Ralph Sampson,F
1984.0,NBA,1st,Bernard King,F
1984.0,NBA,2nd,Julius Erving,F
1983.0,NBA,1st,Julius Erving,F
1983.0,NBA,2nd,Buck Williams,F
1982.0,NBA,1st,Julius Erving,F
1982.0,NBA,2nd,Bernard King,F
1981.0,NBA,1st,Julius Erving,F
1981.0,NBA,2nd,Marques Johnson,F
1980.0,NBA,1st,Julius Erving,F
1980.0,NBA,2nd,Dan Roundfield,F
1979.0,NBA,1st,Marques Johnson,F
1979.0,NBA,2nd,Walter Davis,F
1978.0,NBA,1st,Truck Robinson,F
1978.0,NBA,2nd,Maurice Lucas,F
1977.0,NBA,1st,David Thompson,F
1977.0,NBA,2nd,George McGinnis,F
1976.0,NBA,1st,George McGinnis,F
1976.0,NBA,2nd,Elvin Hayes,F
1976.0,ABA,1st,Billy Knight,F
1976.0,ABA,2nd,David Thompson,F
1975.0,NBA,1st,Elvin Hayes,F
1975.0,NBA,2nd,Spencer Haywood,F
1975.0,ABA,1st,George McGinnis,F
1975.0,ABA,2nd,George Gervin,F
1974.0,NBA,1st,John Havlicek,F
1974.0,NBA,2nd,Spencer Haywood,F
1974.0,ABA,1st,George McGinnis,F
1974.0,ABA,2nd,Willie Wise,F
1973.0,NBA,1st,Spencer Haywood,F
1973.0,NBA,2nd,Elvin Hayes,F
1973.0,ABA,1st,Julius Erving,F
1973.0,ABA,2nd,George McGinnis,F
1972.0,NBA,1st,Spencer Haywood,F
1972.0,NBA,2nd,Bob Love,F
1972.0,ABA,1st,Dan Issel,F
1972.0,ABA,2nd,Willie Wise,F
1971.0,NBA,1st,John Havlicek,F
1971.0,NBA,2nd,Bob Love,F
1971.0,ABA,1st,Roger Brown,F
1971.0,ABA,2nd,Larry Cannon,G
1970.0,NBA,1st,Connie Hawkins,F
1970.0,NBA,2nd,Gus Johnson,F
1970.0,ABA,1st,Spencer Haywood,F
1970.0,ABA,2nd,Bob Netolicky,F
1969.0,NBA,1st,Billy Cunningham,F
1969.0,NBA,2nd,John Havlicek,F
1969.0,ABA,1st,Connie Hawkins,F
1969.0,ABA,2nd,Doug Moe,F
1968.0,NBA,1st,Jerry Lucas,F
1968.0,NBA,2nd,Willis Reed,F
1968.0,ABA,1st,Doug Moe,F
1968.0,ABA,2nd,Cincinnatus Powell,F
1967.0,NBA,1st,Elgin Baylor,F
1967.0,NBA,2nd,Willis Reed,F
1966.0,NBA,1st,Jerry Lucas,F
1966.0,NBA,2nd,Gus Johnson,F
1965.0,NBA,1st,Jerry Lucas,F
1965.0,NBA,2nd,Bob Pettit,F
1964.0,NBA,1st,Bob Pettit,F
1964.0,NBA,2nd,Jerry Lucas,F
1963.0,NBA,1st,Bob Pettit,F
1963.0,NBA,2nd,Bailey Howell,F
1962.0,NBA,1st,Bob Pettit,F
1962.0,NBA,2nd,Jack Twyman,F
1961.0,NBA,1st,Bob Pettit,F
1961.0,NBA,2nd,Dolph Schayes,F
1960.0,NBA,1st,Bob Pettit,F
1960.0,NBA,2nd,Jack Twyman,F
1959.0,NBA,1st,Bob Pettit,F
1959.0,NBA,2nd,Cliff Hagan,F
1958.0,NBA,1st,George Yardley,F
1958.0,NBA,2nd,Maurice Stokes,F
1957.0,NBA,1st,Dolph Schayes,F
1957.0,NBA,2nd,George Yardley,F
1956.0,NBA,1st,Bob Pettit,F
1956.0,NBA,2nd,Maurice Stokes,F
1955.0,NBA,1st,Neil Johnsto,n
1955.0,NBA,2nd,Vern Mikkelse,n
1954.0,NBA,1st,Neil Johnsto,n
1954.0,NBA,2nd,Jim Pollar,d
1953.0,NBA,1st,Ed Macaule,y
1953.0,NBA,2nd,Andy Philli,p
1952.0,NBA,1st,Ed Macaule,y
1952.0,NBA,2nd,Andy Philli,p
1951.0,NBA,1st,Alex Groz,a
1951.0,NBA,2nd,Dick McGuir,e
1950.0,NBA,1st,George Mika,n
1950.0,NBA,2nd,Al Cerv,i
1949.0,BAA,1st,George Mika,n
1949.0,BAA,2nd,Bones McKinne,y
1948.0,BAA,1st,Joe Fulk,s
1948.0,BAA,2nd,John Loga,n
1947.0,BAA,1st,Bones McKinne,y
1947.0,BAA,2nd,Chick Halber,t
2018.0,NBA,1st,Damian Lillard,G
2018.0,NBA,2nd,Russell Westbrook,G
2018.0,NBA,3rd,Stephen Curry,G
2017.0,NBA,1st,James Harden,G
2017.0,NBA,2nd,Stephen Curry,G
2017.0,NBA,3rd,John Wall,G
2016.0,NBA,1st,Stephen Curry,G
2016.0,NBA,2nd,Chris Paul,G
2016.0,NBA,3rd,Klay Thompson,G
2015.0,NBA,1st,Stephen Curry,G
2015.0,NBA,2nd,Russell Westbrook,G
2015.0,NBA,3rd,Klay Thompson,G
2014.0,NBA,1st,James Harden,G
2014.0,NBA,2nd,Stephen Curry,G
2014.0,NBA,3rd,Goran Dragic,G
2013.0,NBA,1st,Kobe Bryant,G
2013.0,NBA,2nd,Tony Parker,G
2013.0,NBA,3rd,James Harden,G
2012.0,NBA,1st,Kobe Bryant,G
2012.0,NBA,2nd,Tony Parker,G
2012.0,NBA,3rd,Rajon Rondo,G
2011.0,NBA,1st,Kobe Bryant,G
2011.0,NBA,2nd,Dwyane Wade,G
2011.0,NBA,3rd,Manu Ginobili,G
2010.0,NBA,1st,Kobe Bryant,G
2010.0,NBA,2nd,Steve Nash,G
2010.0,NBA,3rd,Joe Johnson,G
2009.0,NBA,1st,Kobe Bryant,G
2009.0,NBA,2nd,Chris Paul,G
2009.0,NBA,3rd,Chauncey Billups,G
